LIAI,FIL,DESIGNATION,COUL,REP1,REP2,TYPE,LONG,OPTION,REF CON1,CODE APP.1,ALV1,NUM FAB.1,POS1,EXT1,REF JOINT1,REF CON2,CODE APP.2,ALV2,NUM FAB.2,POS2,EXT2,REF JOINT2
"LPG","0477","+ F/P G PRTJ","L/W","","","NEWA3Z-0.35","1180","PHAS2","243427Y006","1758AA","2","135","11B","8200185963","8200191429","4501020609","ELPG-A","L","E-29","8F","*EPISSURE*",""
"LPG","0506","+ F/P G PRTJ","L","","","ACOR2Z-0.50","4160","PHAS2&&SANA78","243405460R","172AA","3","037","1I","7703497407","","4501020609","ELPG-A","R","E-29","8F","*EPISSURE*",""
"LPG","0511","+ F/P G PRTJ","L","","","ACOR2Z-0.50","3915","PHAS2&&SANA78","243405460R","173AA","3","038","2A","7703497407","","4501020609","ELPG-A","L","E-29","8F","*EPISSURE*",""
"LPG","0527","+ F/P G PRTJ","L/W","","","NEWA3Z-0.35","930","STOSTA","8200959948","2099AA","8","144","5E","8200176508","","4501020609","ELPG-A","L","E-29","8F","*EPISSURE*",""
"LPG","1002","","L/W","","","NEWA3Z-0.35","610","PHAS2&&!LVAVEL","8200308246","645AA","20","092","8B","8200176508","","4501020609","ELPG-A","L","E-29","8F","*EPISSURE*",""
"MAH","0659","MASSE ELECTRIQUE ABS","B/BR","","","NEWA3Z-4.00","325","ABS&&PHAS2","ST6E","MAH-32A","1","110","9I","8200261820","","243409329R","1094AA","13","162","8I","243466324R","243520878R"
"MAH","0660","MASSE ELECTRIQUE ABS","B/BR","","","NEWA3Z-1.50","325","ABS&&PHAS2","ST6E","MAH-32A","1","110","9I","*Av 0659","","243409329R","1094AA","38","162","8I","243465177R","243522430R"
"MAL","0571","MASSE TRESSE DAE","B","","","NEWA3Z-6.00","730","DA&&PHAS2","ST6E","MAL-32A","1","111","7F","8200261820","","8200280892","1232AA","B","150","5F","8200280778",""
"MAR","0336","MSS ELCT LONGERON AV D","B","","","ACOR2Z-2.50","405","FLEXFL","TD6","MAR-32B","1","113","9J","8200315888","","4501020609","EMAR-A1","R","E-31","10H","*EPISSURE*",""
"MAR","0338","MSS ELCT LONGERON AV D","B/O","","","NEWA3Z-1.25","345","ALL","243425L54D","212AA","2","059","12F","7703497853","7703697009","4501020609","EMAR-A2","L","E-32","10F","*EPISSURE*",""
"MAR","0340","MSS ELCT LONGERON AV D","B","","","NEWA3Z-0.50","455","(SSELA&&ESS&&PHAS2)||(SSELA&&FLEXFL&&L72F&&PHAS2)","8200074725","221BA","1","063","11H","8200918755","8200074721","4501020609","EMAR-A1","L","E-31","10H","*EPISSURE*",""
"MAR","0429","MSS ELCT LONGERON AV D","B","","","ACOR2Z-1.00","365","ALL","4501020609","EMAR-A2","R","E-32","10F","*EPISSURE*","","4501020609","EMAR-A1","L","E-31","10H","*EPISSURE*",""
"MAR","0465","MSS ELCT LONGERON AV D","B","","","ACOR2Z-0.75","735","PHAS2","243409596R","226AA","3","132","10K","7703497872","243521688R","4501020609","EMAR-A1","L","E-31","10H","*EPISSURE*",""
"MAR","0472","MSS ELCT LONGERON AV D","B","","","NEWA3Z-0.50","785","PHAS2","243427Y006","1757AA","1","134","11K","8200185964","8200191432","4501020609","EMAR-A1","R","E-31","10H","*EPISSURE*",""
"MAS","0351","MSS ELCT LONGERON AV G","B","","","ACOR2Z-0.35","380","PHAS2","2434271L23","207AA","2","105","11D","2434471L20","243520402R","4501020609","EMAS-A","R","E-33","10C","*EPISSURE*",""
"MAS","0468","MASSE ELCT LONGERON AV G","B","","","ACOR2Z-0.75","530","PHAS2","243409596R","227AA","3","133","11A","7703497872","243521688R","4501020609","EMAS-A","L","E-33","10C","*EPISSURE*",""
"MAS","0478","MASSE ELCT LONGERON AV G","B","","","NEWA3Z-0.50","635","PHAS2","243427Y006","1758AA","1","135","11B","8200185964","8200191432","4501020609","EMAS-A","L","E-33","10C","*EPISSURE*",""
"MAS","0533","MASSE ELCT LONGERON AV G","B/W","","","NEWA3Z-0.35","885","STOSTA","8200490359","438AA","2","145","10C","8200185963","8200191429","4501020609","EMAS-A","L","E-33","10C","*EPISSURE*",""
"MAS","0607","MASSE ELCT LONGERON AV G","B","","","NEWA3Z-1.00","190","PHAS2","KD6Z8","MAS-32A","1","166","9B","243610814R","","4501020609","EMAS-A","R","E-33","10C","*EPISSURE*",""
"MBS","0353","MSS ELCT SP CLN DRC D","B/O","","","NEWA3Z-1.25","605","ALL","243406491R","319AA","5","087","6H","243469211R","","4501020609","EMBS-A2","R","E-35","8F","*EPISSURE*",""
"MBS","0354","MSS ELCT SP CLN DRC D","B/O","","","NEWA3Z-1.25","605","ALL","243406491R","319AA","8","087","6H","243469211R","","4501020609","EMBS-A2","R","E-35","8F","*EPISSURE*",""
"MBS","0355","MSS ELCT SP CLN DRC D","B/BR","","","NEWA3Z-1.50","1940","PRIACC","8200451088","506AA","3","090","3G","7703497701","","4501020609","EMBS-A1","L","E-34","8I","*EPISSURE*",""
"MBS","0357","MSS ELCT SP CLN DRC D","B","","","ACOR2Z-0.35","1505","XUCEH2","7703297647","225AA","4","064","6J","7703497696","","4501020609","EMBS-A2","L","E-35","8F","*EPISSURE*",""
"MBS","0358","MSS ELCT SP CLN DRC D","B","","","ACOR2Z-0.35","1505","XUCEH2","7703297647","225AA","5","064","6J","7703497696","","4501020609","EMBS-A2","L","E-35","8F","*EPISSURE*",""
"MBS","0360","MSS ELCT SP CLN DRC D","B","","","NEWA3Z-3.00","490","ALL","TD6","MBS-32A","1","115","7K","8200315888","","4501020609","EMBS-A1","R","E-34","8I","*EPISSURE*",""
"MBS","0428","MSS ELCT SP CLN DRC D","B","","","NEWA3Z-1.00","770","ALL","4501020609","EMBS-A1","R","E-34","8I","*EPISSURE*","","4501020609","EMBS-A2","L","E-35","8F","*EPISSURE*",""
"MBS","0528","MSS ELCT SP CLN DRC D","B/W","","","NEWA3Z-0.35","965","STOSTA","8200959948","2099AA","5","144","5E","8200176508","","4501020609","EMBS-A2","L","E-35","8F","*EPISSURE*",""
"MBT","0361","MSS ELCT SP CLN DRC G","B","","","ACOR2Z-0.35","1890","SOP01","243407319R","213AA","3","060","3E","8200061983","","4501020609","EMBT-A","R","E-36","7C","*EPISSURE*",""
"MBT","0363","MSS ELCT SP CLN DRC G","B/P","","","NEWA3Z-2.50","410","ALL","TD6","MBT-32A","1","116","8B","8200315888","","4501020609","EMBT-A","L","E-36","7C","*EPISSURE*",""
